sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
4.829;175;;180rounds;Yes;No;2;0.72181;0.86583;0.02068;0.22200;1.58764;Group8_BoaParty@0;SlavaAgent@1;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.0;party1_utility.xml;party2_utility.xml
3.155;173;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;SlavaAgent@2;Group8_BoaParty@3;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.9041140069845697;party1_utility.xml;party2_utility.xml
1.743;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@4;Group8_BoaParty@5;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.095;6;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@6;Group8_BoaParty@7;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;1.0;party1_utility.xml;party2_utility.xml
3.481;129;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@8;Group8_BoaParty@9;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;party1_utility.xml;party2_utility.xml
5.119;180;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;NiceTitForTat@10;Group8_BoaParty@11;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.769;181;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Gahboninho@12;Group8_BoaParty@13;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;party1_utility.xml;party2_utility.xml
1.741;178;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Yushu@14;Group8_BoaParty@15;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.394;180;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Group8_BoaParty@16;TheNegotiatorReloaded@17;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
2.834;175;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;SlavaAgent@18;TheNegotiatorReloaded@19;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
