Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
2.456;178;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;171.357;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@0;boa-negotiator.boaframework.offeringstrategy.anac2012.TheNegotiatorReloaded_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@1;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
1.952;175;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;160.787;boa-negotiator.boaframework.offeringstrategy.anac2012.TheNegotiatorReloaded_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@2;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@3;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
3.861;181;;180rounds;No;No;1;0.00000;0.00000;103.604;121.592;0.00000;boa-negotiator.boaframework.offeringstrategy.anac2011.NiceTitForTat_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@4;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@5;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.664;181;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;146.965;boa-negotiator.boaframework.offeringstrategy.anac2011.Gahboninho_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@6;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@7;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
3.812;120;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;168.911;IAMhaggler2012@8;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@9;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.9041140069845697;party1_utility.xml;party2_utility.xml
1.130;162;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;160.787;Gahboninho@10;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@11;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.6662075599338653;party1_utility.xml;party2_utility.xml
1.097;166;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;160.787;KLH@12;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@13;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.6662075599338653;party1_utility.xml;party2_utility.xml
4.094;178;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;170.482;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@14;boa-negotiator.boaframework.offeringstrategy.anac2011.NiceTitForTat_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@15;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
4.079;172;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;160.787;boa-negotiator.boaframework.offeringstrategy.anac2012.TheNegotiatorReloaded_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@16;boa-negotiator.boaframework.offeringstrategy.anac2011.NiceTitForTat_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@17;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
3.957;181;;180rounds;No;No;1;0.00000;0.00000;103.604;121.592;0.00000;boa-negotiator.boaframework.offeringstrategy.anac2011.NiceTitForTat_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@18;boa-negotiator.boaframework.offeringstrategy.anac2012.TheNegotiatorReloaded_Offering-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_AS_b_a-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OM_l-.Users.andrea.eclipse.workspace.Group8assignment.bin.MAS_Agent.Group8_OMS@19;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
